"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.044552083E0,1.992269749E0,1.446966603E-2,-2.638178918E0,3.305954647E0
2.054510083E0,2.367444647E0,-7.651939760E-1,-3.866242724E0,4.597624254E0
2.064469083E0,3.555234586E0,-1.596512798E0,-4.707520816E0,6.111407228E0
2.074428083E0,4.433030294E0,-2.135600061E0,-4.415051275E0,6.610992586E0
2.084386083E0,5.079803681E0,-2.198916197E0,-3.543920224E0,6.572595259E0
2.094345083E0,7.648431723E0,-1.505472235E0,-1.338683771E0,7.909300141E0
2.104303083E0,1.014448412E1,-1.051124137E0,-7.161248732E-1,1.022390605E1
2.114262083E0,1.131371208E1,-1.851779868E0,-1.643971578E0,1.158152892E1
2.124220083E0,1.107261150E1,-1.278808283E0,-7.926883149E-1,1.117436489E1
2.134179083E0,9.705110307E0,-8.063976967E-1,4.428096414E-1,9.748616501E0
2.144137083E0,7.629330039E0,-8.876403728E-1,9.437756896E-1,7.738558963E0
2.154096083E0,5.244318602E0,-3.262404272E-1,6.029449975E-1,5.288936858E0
2.164054083E0,2.774406763E0,1.331785226E0,-2.669127645E0,4.073723992E0
2.174013083E0,7.028411686E-1,-3.717253330E-1,-4.919828539E0,4.983661133E0
2.183971083E0,-9.558864427E-1,-1.970231886E0,-3.991420501E0,4.552688238E0
2.193930083E0,-1.789045676E0,-1.027567752E0,-1.462716079E0,2.529054812E0
2.203888083E0,-2.311416042E-1,5.644728767E-1,-1.801368244E0,1.901836907E0
2.213847083E0,6.382364523E-1,3.181130898E-1,-1.584907683E0,1.737951113E0
2.223806083E0,-3.374626958E-1,-5.774471173E-1,4.115244064E-1,7.852888522E-1
2.233764083E0,-5.606953561E-1,-5.552700171E-1,1.473839822E0,1.671797803E0
2.243723083E0,3.234428269E-1,-3.128100307E-1,2.336023172E0,2.378963984E0
2.253681083E0,8.729249775E-1,-1.589492485E-1,3.133957901E0,3.257139083E0
2.263640083E0,2.139216710E0,-1.539576267E-1,3.231021388E0,3.878073013E0
2.273598083E0,3.251282283E0,-4.089767745E-1,2.729835193E0,4.264985189E0
2.283557083E0,3.317841139E0,-8.420560643E-1,2.471344407E0,4.221927452E0
2.293516167E0,2.818348004E0,-4.390000342E-1,2.593051862E0,3.854831314E0
2.303475167E0,2.442609435E0,-4.140223369E-2,2.458176477E0,3.465643748E0
2.313433167E0,2.958870630E0,-8.209929317E-3,1.500636588E0,3.317663783E0
2.323392167E0,2.864725780E0,2.014283931E-1,1.855920281E0,3.419308012E0
2.333350167E0,1.016298705E0,2.099791128E0,2.382573294E0,3.334462677E0
2.343309167E0,2.148231947E-1,2.959591591E0,2.831865013E0,4.101803365E0
2.353267167E0,5.162799060E-1,1.853110694E0,2.433882319E0,3.102313222E0
