Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),walk-jump
2.537725250E0,4.132668766E0,-9.161230373E0,-1.837913196E0,1.021689865E1,1
2.547648250E0,4.094224201E0,-8.989385383E0,-1.684302748E0,1.002040903E1,1
2.557570250E0,3.985451956E0,-8.944642489E0,-1.358609912E0,9.886165963E0,1
2.567493250E0,3.725949309E0,-8.496105500E0,-9.340634644E-1,9.324107543E0,1
2.577415250E0,3.527934521E0,-7.801127082E0,-4.758399048E-1,8.574982761E0,1
2.587338250E0,3.033608863E0,-6.387437568E0,6.315939423E-1,7.099369854E0,1
2.597260250E0,9.321180958E-1,-3.305231034E0,3.335810802E0,4.787591256E0,1
2.607183250E0,-6.113281506E-1,-7.358083552E-1,4.259904179E0,4.365995838E0,1
2.617105250E0,-5.149210131E-1,1.793266196E0,4.250472035E0,4.641924151E0,1
2.627028250E0,-8.098317665E-1,5.438930896E0,2.448707934E-1,5.504339968E0,1
2.636951250E0,-2.180464139E0,1.124832383E1,-5.743908800E0,1.281685224E1,1
2.646873250E0,-1.034390692E1,2.211974082E1,-3.213463077E0,2.462936641E1,1
2.656796250E0,-2.396501917E1,3.329124862E1,-2.234534512E0,4.108068309E1,1
2.666718250E0,-2.772371698E1,3.365419231E1,-9.796202910E-1,4.361386017E1,1
2.676641250E0,-2.740697565E1,3.093382434E1,5.328610893E0,4.167058791E1,1
2.686563250E0,-2.758512160E1,2.495197772E1,9.869128214E0,3.848298088E1,1
2.696486250E0,-2.157384243E1,1.426322307E1,9.761590317E0,2.764342336E1,1
2.706408250E0,-1.575184933E1,7.059208387E0,5.998112993E0,1.827376644E1,1
2.716331250E0,-1.359681005E1,4.327296848E0,2.821054096E0,1.454500216E1,1
2.726253250E0,-1.258705789E1,3.567557008E0,9.731988788E-1,1.311901694E1,1
2.736176250E0,-1.092443603E1,2.485366614E0,-4.290727776E-1,1.121179974E1,1
2.746098250E0,-8.384542964E0,4.212363392E-1,-1.054906116E0,8.461136312E0,1
2.756021250E0,-5.257959571E0,-1.859231560E0,-7.737556154E-1,5.630415491E0,1
2.765943250E0,-2.012004687E0,-3.514041536E0,1.719911706E-1,4.052928786E0,1
2.775866250E0,1.089533912E0,-4.061899915E0,7.312206298E-1,4.268582748E0,1
2.785789250E0,3.417549614E0,-4.095136074E0,7.423519742E-1,5.385245703E0,1
2.795711250E0,4.710088913E0,-4.376002400E0,2.455514824E-1,6.433865876E0,1
2.805634250E0,5.261008310E0,-5.080635155E0,-4.796166945E-1,7.329467524E0,1
2.815556250E0,5.521500598E0,-6.112230177E0,-1.032369778E0,8.301332058E0,1
2.825479250E0,5.722869349E0,-7.504608344E0,-1.010277243E0,9.491630002E0,1
2.835401250E0,5.943483042E0,-8.843476303E0,-5.526285374E-1,1.066946400E1,1
2.845324250E0,6.066390345E0,-9.988108528E0,-6.234301329E-2,1.168620086E1,1
2.855246250E0,6.027584129E0,-1.073594870E1,2.453456604E-1,1.231472937E1,1
2.865169250E0,5.912309781E0,-1.108879542E1,4.245382619E-1,1.257366389E1,1
2.875091250E0,5.793076867E0,-1.102399657E1,4.322320282E-1,1.246094156E1,1
2.885014250E0,5.775310687E0,-1.081781440E1,4.929927850E-1,1.227283031E1,1
2.894936250E0,5.906007652E0,-1.056015684E1,6.431831968E-1,1.211658052E1,1
2.904859250E0,6.089297982E0,-1.006208750E1,8.533917689E-1,1.179209194E1,1
2.914781250E0,6.158868154E0,-9.520611357E0,7.729130316E-1,1.136534611E1,1
2.924704250E0,6.185725000E0,-9.128156183E0,4.678287077E-1,1.103654352E1,1
2.934627250E0,6.249861939E0,-8.903453532E0,6.664890289E-2,1.087826738E1,1
2.944549250E0,6.333714520E0,-8.818189434E0,-2.927911377E-1,1.086103730E1,1
2.954472250E0,6.415247510E0,-8.633140261E0,-5.808460307E-1,1.077143878E1,1
2.964394250E0,6.498668566E0,-8.285685843E0,-8.824734807E-1,1.056712082E1,1
2.974317250E0,6.572495511E0,-7.922001309E0,-1.165051872E0,1.035920595E1,1
2.984239250E0,6.644173020E0,-7.642616667E0,-1.489924343E0,1.023594154E1,1
2.994162250E0,6.713637357E0,-7.486986006E0,-1.861606699E0,1.022709468E1,1
3.004084250E0,6.772322937E0,-7.377841294E0,-2.229515846E0,1.026000200E1,1
3.014007250E0,6.854785634E0,-7.292253844E0,-2.493579614E0,1.031421308E1,1
