"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.108089667E0,5.746316099E-1,-2.673552234E0,1.110639788E1,1.143810110E1
2.118048667E0,6.126946449E-2,-3.555480169E0,9.922271218E0,1.054024000E1
2.128006667E0,-1.100886866E0,-3.682180561E0,7.401333067E0,8.339672461E0
2.137965667E0,-2.185339547E0,-2.454111493E0,4.752071922E0,5.777591168E0
2.147923667E0,-3.193888353E0,-5.987572217E-1,3.027645580E0,4.441404145E0
2.157881667E0,-3.842408888E0,1.456383544E0,6.872251560E-1,4.166225811E0
2.167840667E0,-4.369271085E0,3.758690794E0,-1.189668211E0,5.885031584E0
2.177798667E0,-4.717116097E0,5.219452148E0,-1.917020908E0,7.291696247E0
2.187757667E0,-5.281341417E0,6.130805612E0,-1.929985793E0,8.318905564E0
2.197715667E0,-6.123975479E0,6.547807397E0,-1.630350050E0,9.112348691E0
2.207674667E0,-7.230527127E0,5.965705969E0,-6.734403451E-1,9.398068533E0
2.217632667E0,-7.971907294E0,5.262641437E0,-5.296092188E-1,9.566984202E0
2.227591667E0,-7.905907432E0,4.733112910E0,-1.384867419E0,9.317917574E0
2.237549667E0,-7.500176740E0,5.124326720E0,-2.345513495E0,9.381514218E0
2.247507667E0,-7.767156513E0,6.243806562E0,-2.882867936E0,1.037423579E1
2.257466667E0,-8.196528668E0,7.160364633E0,-3.123686682E0,1.132304387E1
2.267424667E0,-8.263283991E0,5.732415513E0,-3.317361667E0,1.058996404E1
2.277383667E0,-7.639933965E0,2.123929457E0,-3.277560840E0,8.580330552E0
2.287341667E0,-5.779500802E0,8.374627841E-1,-2.852467677E0,6.499272674E0
2.297300667E0,-3.601421158E0,2.150935115E0,-1.326433854E0,4.399566228E0
2.307258667E0,5.132042706E-1,3.830569446E-1,4.269350356E-1,7.696653629E-1
2.317216667E0,2.709432503E0,2.796487311E0,-4.929042581E0,6.281466910E0
2.327175667E0,6.897574389E-1,6.664169912E0,-2.661375407E0,7.209011375E0
2.337133667E0,8.360974592E-1,4.952132066E0,1.883969083E0,5.363954742E0
2.347092667E0,9.501579255E-1,3.999003171E0,1.424994521E0,4.350337438E0
2.357050667E0,4.123555881E-1,2.992778049E0,2.264929216E0,3.775799509E0
2.367009667E0,7.032054502E-1,8.362757993E-1,5.953370683E0,6.052807415E0
2.376967667E0,-2.260007322E-2,6.370015204E-2,7.887217392E0,7.887506999E0
2.386925667E0,-3.185937309E-1,4.115404862E-1,6.280775583E0,6.302301918E0
2.396884667E0,-6.966969144E-1,8.890305483E-1,3.324473051E0,3.511108510E0
2.406842667E0,-5.541996843E-1,2.569161308E-1,1.805628672E0,1.906157939E0
2.416801667E0,4.311374295E-1,-7.949280909E-1,8.852362901E-1,1.265477555E0
2.426759667E0,1.907397999E0,-1.386380094E0,-4.546201399E-1,2.401436312E0
2.436718667E0,3.101546785E0,-1.103118456E0,-6.470432362E-1,3.354866277E0
2.446676667E0,4.024421602E0,-4.067162409E-1,-6.030680814E-1,4.089630600E0
2.456634667E0,4.507743092E0,2.426506788E-1,3.396156406E-1,4.527026167E0
2.466593667E0,5.087679881E0,5.792377540E-1,2.009553534E0,5.500755253E0
2.476551667E0,5.812695445E0,7.740155241E-1,3.065776151E0,6.617062171E0
2.486510667E0,6.052904327E0,8.230207461E-1,3.061061833E0,6.832650546E0
2.496468667E0,5.832436815E0,9.931805688E-1,2.972705727E0,6.621231470E0
2.506427667E0,5.174479458E0,1.928324014E-1,4.130626334E0,6.623782598E0
2.516385667E0,4.832086390E0,-9.320859361E-1,4.805059975E0,6.877968046E0
2.526343667E0,5.634771105E0,-1.308487580E0,3.773835082E0,6.906852856E0
2.536302667E0,6.169061605E0,-2.019676234E0,2.183234550E0,6.848571112E0
