Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),WalkingJumping
2.606242375E0,-3.433568939E0,-1.381233959E0,-2.716140429E0,4.590710374E0,0
2.616165375E0,-3.727903449E0,-2.037450600E-1,-2.118664917E0,4.292728410E0,0
2.626088375E0,-3.967238172E0,6.709913850E-1,-1.769507790E0,4.395493825E0,0
2.636011375E0,-3.190810086E0,1.188075868E0,-5.954149532E-1,3.456488426E0,0
2.645934375E0,-1.607379995E0,2.134131972E0,-2.689590561E-1,2.685242762E0,0
2.655857375E0,-1.837233165E-1,2.948047433E0,1.329694262E0,3.239262996E0,0
2.665781375E0,2.076416445E-1,3.948432941E0,3.584704553E0,5.336978965E0,0
2.675704375E0,-1.301967934E0,2.238057459E0,3.911789610E0,4.691068071E0,0
2.685627375E0,-1.765021806E0,-5.340542722E-1,3.201266370E0,3.694404189E0,0
2.695549708E0,-3.375204371E0,-3.522055730E0,1.764135368E0,5.187393826E0,0
2.705472708E0,-1.096858719E-1,1.481475116E0,3.176970019E0,3.507126746E0,0
2.715395708E0,6.385039625E-1,3.398212287E0,3.593461928E0,4.986832932E0,0
2.725318708E0,-1.367430145E0,1.197539586E0,1.564396820E0,2.398187581E0,0
2.735241708E0,-2.570892961E0,-1.808423349E0,-6.342070629E-1,3.206572036E0,0
2.745164708E0,-1.788484343E0,-4.109593315E0,-1.631091331E0,4.769475064E0,0
2.755087708E0,-3.357421526E-1,-3.540016623E0,-1.620642357E0,3.907802724E0,0
2.765010708E0,2.796638462E-1,-2.150254499E0,-1.289137974E0,2.522634138E0,0
2.774933708E0,-1.066619843E-2,-1.188180533E0,-1.373692220E0,1.816292120E0,0
2.784856708E0,-5.770026559E-1,-8.102135897E-1,-1.021624934E0,1.425866625E0,0
2.794779708E0,1.602680880E-1,-1.571560829E0,-2.074866933E0,2.607788735E0,0
2.804702708E0,3.996615753E-1,-1.740823689E0,-2.632256273E0,3.181032785E0,0
2.814625708E0,8.098899463E-1,-9.212101150E-1,-1.136370767E0,1.672091003E0,0
2.824548708E0,2.274422463E0,1.055001426E-1,2.514898416E-1,2.290714945E0,0
2.834471708E0,3.848018707E0,4.968496084E-1,3.867330160E-1,3.899188368E0,0
2.844394708E0,4.667955339E0,6.050488257E-1,5.967843711E-1,4.744685734E0,0
2.854317708E0,4.343318803E0,9.273941302E-1,1.244072459E0,4.612178919E0,0
2.864240708E0,3.081183856E0,1.271396352E0,1.502903407E0,3.656345346E0,0
2.874164708E0,1.526279260E0,9.110248500E-1,1.532916580E0,2.347195752E0,0
2.884087708E0,1.730002539E-1,4.007354164E-1,1.158085426E0,1.237610526E0,0
2.894010708E0,-6.360715207E-1,-1.624985669E0,9.928981483E-2,1.747862658E0,0
2.903933708E0,-1.201185179E0,-3.281202486E0,-1.445884430E0,3.781496710E0,0
2.913856708E0,-2.043436833E0,-1.272190404E0,-1.277677431E0,2.725171945E0,0
2.923779708E0,-2.910647180E0,1.961830314E0,8.495653510E-2,3.511105638E0,0
2.933702708E0,-3.638200144E0,3.051369488E0,-1.419571813E0,4.956060954E0,0
2.943625708E0,-1.381930947E-1,-1.398379165E-1,-2.150051601E0,2.159021505E0,0
2.953548708E0,3.169721811E0,-1.510446315E0,-1.160579994E0,3.698044125E0,0
2.963471708E0,3.462046048E0,-8.761795378E-1,4.222262728E-1,3.596071252E0,0
2.973394708E0,1.417340954E0,5.329620123E-2,1.148617760E0,1.825107839E0,0
2.983317708E0,-4.250781061E-1,1.098463780E-1,6.827067932E-1,8.116934079E-1,0
